10000 20000
1623 59 27
1624 47 79
1625 69 62
1626 10 39
1627 15 50
1628 80 30
1629 64 79
1630 53 99
1631 98 29
1632 98 75
1633 56 2
1634 56 20
1635 9 30
1636 86 26
1637 9 49
1638 46 69
1639 24 53
1640 100 79
1641 89 38
1642 31 100
1643 74 29
1644 22 24
1645 78 85
1646 23 58
1647 14 81
1648 30 98
1649 69 57
1650 61 28
1651 22 67
1652 10 60
1653 20 45
1654 66 1
1655 74 55
1656 60 84
1657 39 99
1658 92 56
1659 48 92
1660 66 22
1661 39 45
1662 32 8
1663 23 10
1664 82 90
1665 57 76
1666 12 1
1667 88 27
1668 48 56
1669 98 76
1670 40 100
1671 88 83
1672 72 18
1673 59 6
1674 22 2
1675 75 49
1676 14 15
1677 1 65
1678 39 20
1679 31 14
1680 65 64
1681 69 70
1682 33 67
1683 64 92
1684 65 75
1685 28 27
1686 31 54
1687 69 67
1688 39 61
1689 42 12
1690 81 97
1691 98 13
1692 98 5
1693 35 40
1694 69 71
1695 80 84
1696 2 51
1697 85 76
1698 33 25
1699 42 68
1700 21 83
1701 9 43
1702 69 11
1703 17 56
1704 41 72
1705 58 22
1706 37 39
1707 51 75
1708 19 79
1709 95 55
1710 58 89
1711 22 46
1712 47 57
1713 24 96
1714 66 26
1715 20 69
1716 30 88
1717 73 50
1718 74 32
1719 28 80
1720 64 93
1721 43 52
1722 54 78
1723 42 37
1724 50 67
1725 48 14
1726 54 86
1727 87 91
1728 25 53
1729 62 74
1730 54 46
1731 30 5
1732 75 68
1733 76 66
1734 35 60
1735 61 73
1736 41 28
1737 90 13
1738 50 100
1739 24 22
1740 30 90
1741 77 65
1742 43 96
1743 37 62
1744 40 78
1745 57 61
1746 34 83
1747 16 10
1748 30 55
1749 24 31
1750 44 62
1751 94 10
1752 31 39
1753 93 74
1754 68 9
1755 15 2
1756 48 46
1757 99 95
1758 47 23
1759 68 55
1760 56 50
1761 80 56
1762 93 50
1763 5 81
1764 42 64
1765 3 34
1766 78 15
1767 93 55
1768 22 33
1769 68 21
1770 67 97
1771 16 100
1772 64 75
1773 65 19
1774 92 70
1775 40 54
1776 95 12
1777 53 91
1778 100 6
1779 28 42
1780 48 85
1781 45 15
1782 71 1
1783 58 82
1784 22 57
1785 46 36
1786 63 25
1787 56 31
1788 31 36
1789 63 99
1790 88 28
1791 57 54
1792 4 35
1793 41 37
1794 75 25
1795 31 44
1796 32 83
1797 15 98
1798 42 13
1799 78 75
1800 67 56
1801 36 92
1802 6 48
1803 14 59
1804 2 54
1805 48 18
1806 44 45
1807 9 19
1808 49 14
1809 83 81
1810 22 15
1811 80 38
1812 29 57
1813 78 55
1814 54 29
1815 97 28
1816 60 79
1817 38 28
1818 29 16
1819 33 7
1820 82 55
1821 71 67
1822 74 30
1823 87 39
1824 35 87
1825 70 95
1826 52 34
1827 59 9
1828 100 94
1829 75 93
1830 67 34
1831 37 64
1832 98 25
1833 41 42
1834 19 78
1835 4 8
1836 70 47
1837 68 10
1838 29 68
1839 55 58
1840 21 18
1841 24 39
1842 8 2
1843 76 46
1844 48 14
1845 82 34
1846 88 22
1847 38 25
1848 29 24
1849 71 28
1850 93 93
1851 42 37
1852 94 98
1853 96 61
1854 46 56
1855 38 62
1856 72 76
1857 36 70
1858 50 33
1859 6 79
1860 78 48
1861 95 52
1862 54 86
1863 61 94
1864 47 82
1865 56 94
1866 68 99
1867 94 78
1868 71 72
1869 60 94
1870 55 58
1871 13 64
1872 56 10
1873 68 21
1874 58 6
1875 33 50
1876 74 31
1877 10 15
1878 64 12
1879 44 16
1880 50 64
1881 15 93
1882 83 14
1883 41 46
1884 23 49
1885 23 100
1886 74 54
1887 17 29
1888 33 40
1889 88 35
1890 46 74
1891 95 1
1892 5 47
1893 30 32
1894 6 42
1895 90 71
1896 51 92
1897 45 81
1898 57 62
1899 67 26
1900 54 96
1901 75 80
1902 80 24
1903 87 29
1904 60 28
1905 69 16
1906 47 80
1907 23 26
1908 96 83
1909 34 80
1910 77 51
1911 39 79
1912 47 18
1913 33 59
1914 28 88
1915 72 60
1916 27 54
1917 74 67
1918 12 97
1919 59 80
1920 87 96
1921 61 72
1922 17 45
1923 62 71
1924 84 82
1925 58 1
1926 71 100
1927 8 23
1928 17 9
1929 26 8
1930 13 91
1931 26 69
1932 82 65
1933 31 65
1934 63 1
1935 92 27
1936 6 73
1937 5 14
1938 64 89
1939 75 57
1940 23 44
1941 82 25
1942 40 93
1943 77 80
1944 22 20
1945 10 32
1946 77 94
1947 33 9
1948 54 85
1949 1 15
1950 13 21
1951 38 59
1952 51 20
1953 57 17
1954 57 19
1955 59 98
1956 40 58
1957 33 95
1958 90 80
1959 36 56
1960 91 4
1961 1 4
1962 34 90
1963 76 58
1964 14 78
1965 81 80
1966 92 46
1967 68 97
1968 22 93
1969 4 9
1970 47 54
1971 29 20
1972 69 81
1973 48 12
1974 2 56
1975 62 36
1976 70 38
1977 9 86
1978 53 41
1979 4 97
1980 89 91
1981 86 82
1982 5 94
1983 65 57
1984 41 90
1985 69 68
1986 3 40
1987 13 7
1988 93 7
1989 60 38
1990 65 51
1991 41 15
1992 35 6
1993 37 6
1994 70 72
1995 12 72
1996 31 92
1997 8 38
1998 37 17
1999 93 31
2000 1 37
2001 93 26
2002 65 72
2003 79 41
2004 7 86
2005 78 12
2006 68 2
2007 83 38
2008 97 8
2009 66 38
2010 23 44
2011 20 36
2012 97 29
2013 76 81
2014 90 66
2015 50 85
2016 86 37
2017 30 77
2018 62 24
2019 27 2
2020 17 29
2021 87 97
2022 100 31
2023 32 4
2024 66 50
2025 97 92
2026 99 65
2027 59 7
2028 83 68
2029 51 66
2030 1 89
2031 31 59
2032 12 33
2033 47 57
2034 65 49
2035 24 10
2036 24 44
2037 89 95
2038 86 32
2039 49 7
2040 85 16
2041 99 69
2042 21 62
2043 26 11
2044 71 21
2045 81 50
2046 14 79
2047 37 23
2048 45 5
2049 11 94
2050 9 80
2051 84 93
2052 34 64
2053 94 56
2054 12 34
2055 2 88
2056 40 92
2057 28 38
2058 85 71
2059 47 10
2060 97 6
2061 25 3
2062 98 87
2063 18 82
2064 69 82
2065 67 6
2066 56 80
2067 5 57
2068 90 92
2069 66 62
2070 69 93
2071 67 32
2072 85 1
2073 95 47
2074 73 87
2075 51 32
2076 77 63
2077 31 95
2078 66 48
2079 11 34
2080 49 76
2081 92 63
2082 82 61
2083 54 64
2084 67 38
2085 10 21
2086 51 70
2087 43 22
2088 42 6
2089 34 65
2090 32 41
2091 6 83
2092 41 87
2093 37 15
2094 32 83
2095 57 36
2096 5 17
2097 28 44
2098 62 48
2099 34 74
2100 86 98
2101 5 79
2102 75 57
2103 11 75
2104 73 95
2105 76 12
2106 55 99
2107 40 64
2108 4 90
2109 94 11
2110 33 28
2111 89 78
2112 81 70
2113 1 62
2114 48 75
2115 15 4
2116 2 94
2117 75 82
2118 71 83
2119 62 63
2120 26 83
2121 25 14
2122 18 48
2123 58 68
2124 16 35
2125 5 27
2126 39 96
2127 78 21
2128 2 7
2129 85 26
2130 3 26
2131 64 93
2132 67 10
2133 41 47
2134 74 44
2135 34 42
2136 83 53
2137 47 88
2138 77 31
2139 90 86
2140 96 48
2141 43 13
